code,name
ASE,American Stock Exchange
NYS,New York Stock Exchange
BOS,Boston Stock Exchange
CIN,National Stock Exchange (formerly Cincinnati Stock Exchange)
PSE,NYSE Arca
XPH,Philadelphia Stock Exchange
THM,Third Market Stock
MID,Chicago Stock Exchange
NYQ,Consolidated Issue listed by NYSE
TOR,Toronto Stock Exchange
MON,Montreal Stock Exchange
TSX,TSX Venture Exchange
ALB,Alberta Stock Exchange
AOE,American Options Exchange
NYO,New York Options Exchange
PHO,Philadelphia Options Exchange
PAO,NYSE Arca Options
WCB,Chicago Board Options Exchange
ASQ,Consolidated Issue listed by AMSE
CME,CME:Chicago Mercantile Commodities
IMM,CME:International Monetary Market
IOM,CME:Index and Options Market
CBT,Chicago Board of Trade
ITS,NYSE Alerts
WPG,Winnipeg Commodity Exchange
MGE,Minneapolis Grain Exchange
PBT,Philadelphia Board of Trade
CMX,CEI:Commodities Exchange Centre
CSC,CEI:Coffee Sugar and Cocoa
NYC,CEI:New York Cotton
NYM,CEI:New York Mercantile
FIS,FTSE SINGAPORE
CSO,CEI:Coffee Sugar and Cocoa Options
CEO,CEI:Commodities Exchange Centre Options
SHC,Shanghai Commodity Exchange
NYF,New York Futures Exchange
TFE,Toronto Futures Exchange
MIO,Montreal SE IOM division
NMS,NASDAQ Stock Market Exchange Large Cap (formally known as NASDAQ NATIONAL MARKET SYSTEM)
NCM,Non-Clearing Membership
TOE,Toronto Options Exchange
MOE,Montreal Options Exchange
VAO,Vancouver Options Exchange
NAS,NASDAQ Capital Market (from NASDAQ SmallCap)
MDM,Montreal SE Mercantile Division
SCE,Shanghai Cereals & Oils Exchange
BSQ,Consolidated Issue listed by Boston SE
INS,Instinet ECN
WCQ,Consolidated Issue listed by CBOE
CRC,Chicago Rice and Cotton Exchange
KBT,Kansas City Board of Trade
SOM,Stockholmsborsen - derivatives (was Om Stockholm)
ADS,NASD Alternative Display Facility for Nasdaq Capital Market
ADF,NASD Alternative Display Facility for Nasdaq Large Cap
MIF,Manila International Futures Exchange
JSF,Japan Securities Finance
TCE,Tokyo Commodity Exchange
TFF,Tokyo Financial Futures Exchange
EME,European Mercantile Exchange
HOM,Helsinki Options and Futures Exchange
FOM,Finland Options Market (Suomen Optiomeklait)
FIR,Florence Stock Exchange
ATH,Athens Stock Exchange
SFF,Swiss Options and Financial Futures Exchange
LSE,London Stock Exchange
JNB,Johannesburg Stock Exchange
LIF,LIFFE
TLV,Tel Aviv Stock Exchange
CPH,Copenhagen Stock Exchange
OSL,Oslo Stock Exchange
STO,Stockholmsborsen - cash (was Stockholm Stock Exchange)
CMA,Madrid SE - Chi-X
LUX,Luxembourg Stock Exchange
BRU,Brussels Stock Exchange
PAR,Paris Stock Exchange
